label,n,mean_DA,median_DA,std_DA,peak_DA,p25_DA,p75_DA
all,81,2.8233,2.7720,0.2058,2.7250,2.6847,2.9125
COOH-COOH,31,2.8561,2.8278,0.2310,2.7750,2.7354,2.9170
COOH-COOH (dual),10,2.8592,2.8348,0.2252,2.8250,2.7241,2.8621
COOH-COOH (chain/single),21,2.8547,2.7855,0.2337,2.7750,2.7400,2.9189
COOH-amide,50,2.8030,2.7605,0.1856,2.7250,2.6772,2.8779
