record,group_type,mol_index,group_index,role,partner_count,partners
0,amide,29,0,free,0,
0,amide,30,0,free,0,
0,amide,31,0,free,0,
0,amide,32,0,accept,1,25:0
0,amide,33,0,free,0,
0,amide,34,0,free,0,
0,amide,35,0,accept,1,84:0
0,amide,36,0,accept,1,88:0
0,amide,37,0,free,0,
0,amide,38,0,free,0,
0,amide,39,0,accept,1,65:0
0,amide,40,0,free,0,
0,amide,41,0,accept,1,33:0
0,amide,42,0,free,0,
0,amide,43,0,accept,1,113:0
0,amide,44,0,accept,1,23:0
0,amide,45,0,free,0,
0,amide,46,0,accept,1,41:0
0,amide,47,0,accept,1,0:0
0,amide,48,0,accept,1,107:0
0,amide,49,0,free,0,
0,amide,50,0,accept,1,110:0
0,amide,51,0,free,0,
0,amide,52,0,accept,1,68:0
0,amide,53,0,free,0,
0,amide,54,0,free,0,
0,amide,55,0,accept,1,36:0
0,amide,56,0,free,0,
0,amide,57,0,free,0,
0,amide,58,0,free,0,
0,amide,59,0,free,0,
0,amide,60,0,accept,1,108:0
0,amide,61,0,free,0,
0,amide,62,0,accept,1,83:0
0,amide,63,0,free,0,
0,amide,64,0,free,0,
0,amide,65,0,free,0,
0,amide,66,0,free,0,
0,amide,67,0,accept,1,11:0
0,amide,68,0,accept,1,89:0
0,amide,69,0,accept,1,101:0
0,amide,70,0,free,0,
0,amide,71,0,accept,1,35:0
0,amide,72,0,accept,1,56:0
0,amide,73,0,free,0,
0,amide,74,0,free,0,
0,amide,75,0,accept,1,34:0
0,amide,76,0,accept,1,13:0
0,amide,77,0,free,0,
0,amide,78,0,free,0,
0,amide,79,0,free,0,
0,amide,80,0,accept,1,44:0
0,amide,81,0,free,0,
0,amide,82,0,free,0,
0,amide,83,0,free,0,
0,amide,84,0,free,0,
0,amide,85,0,free,0,
0,amide,86,0,accept,1,28:0
0,amide,87,0,free,0,
0,amide,88,0,free,0,
0,amide,89,0,free,0,
0,amide,90,0,free,0,
0,amide,91,0,free,0,
0,amide,92,0,accept,1,2:0
0,amide,93,0,accept,1,24:0
0,amide,94,0,accept,1,106:0
0,amide,95,0,free,0,
0,amide,96,0,free,0,
0,amide,97,0,free,0,
0,amide,98,0,free,0,
0,amide,99,0,free,0,
0,amide,100,0,accept,1,105:0
0,amide,101,0,accept,2,7:0;91:0
0,amide,102,0,free,0,
0,amide,103,0,free,0,
0,amide,104,0,free,0,
0,amide,105,0,accept,1,54:0
0,amide,106,0,free,0,
0,amide,107,0,free,0,
0,amide,108,0,free,0,
0,amide,109,0,free,0,
0,amide,110,0,accept,1,50:0
0,amide,111,0,free,0,
0,amide,112,0,free,0,
0,amide,113,0,free,0,
0,amide,114,0,accept,1,15:0
0,amide,115,0,accept,1,119:0
0,amide,116,0,free,0,
0,amide,117,0,free,0,
0,amide,118,0,accept,1,51:0
0,amide,119,0,accept,1,80:0
0,amide,120,0,free,0,
0,amide,121,0,free,0,
0,amide,122,0,accept,1,61:0
0,amide,123,0,accept,1,39:0
0,amide,124,0,free,0,
