,I,J,DIST,DIMER-ES,HF-IFIE,MP2-IFIE,PR-TYPE1,GRIMME,JUNG,HILL,ES,EX,CT-mix,DI(MP2),q(I=>J),DIMER-HF,DIMER-MP2,DIMER-ES-BSSE,HF-BSSE,MP2-BSSE,PR-T1-BSSE,GRIMME-BSSE,JUNG-BSSE,HILL-BSSE,TIMES
0,UNK2(2),UNK1(1),2.492379,F,-0.115462,-2.312373,-2.168673,-1.840485,-1.604542,-1.896961,-0.509315,1.057757,-0.664153,-2.312192,-0.004751,,,,,,,,,,00001
1,UNK4(4),UNK1(1),2.846253,F,-0.192645,-7.062619,-6.608303,-5.665156,-4.966738,-5.705944,-2.055027,3.543169,-1.680606,-7.062546,0.020924,,,,,,,,,,00001
2,UNK6(6),UNK1(1),2.698488,F,0.151230,-1.709336,-1.600777,-1.349145,-1.169050,-1.425702,-0.058077,0.634948,-0.425774,-1.709516,0.000556,,,,,,,,,,00001
3,UNK7(7),UNK1(1),2.806239,F,-1.261922,-4.028611,-3.771332,-3.197161,-2.781122,-3.325173,-1.826736,1.894412,-1.329525,-4.028837,-0.000309,,,,,,,,,,00001
4,UNK8(8),UNK1(1),2.846253,F,-0.087851,-6.982926,-6.533629,-5.601150,-4.910262,-5.641938,-1.881672,3.525689,-1.732113,-6.982621,-0.019830,,,,,,,,,,00001
5,UNK14(14),UNK1(1),2.698488,F,0.152485,-1.707453,-1.602032,-1.347890,-1.168423,-1.423192,-0.058669,0.633304,-0.421845,-1.707560,-0.000301,,,,,,,,,,00001
6,UNK15(15),UNK1(1),2.492379,F,-0.170683,-2.314883,-2.170555,-1.839230,-1.601404,-1.906374,-0.530396,1.062050,-0.702505,-2.314998,0.004833,,,,,,,,,,00001
7,UNK16(16),UNK1(1),3.581569,F,0.078439,-0.219628,-0.205823,-0.170055,-0.144955,-0.190763,0.098225,0.002477,-0.022391,-0.219682,-0.000002,,,,,,,,,,00001
