record,donor_type,acceptor_type,n_hbonds,n_uniq_donors,n_uniq_acceptors,ratio_donor_busy,ratio_acceptor_busy
21,hydroxyl,amide_O,39,39,36,0.6094,0.5625
21,hydroxyl,hydroxyl_O,21,21,20,0.3281,0.3125
22,amide_donor,amide_O,23,23,23,0.3594,0.3594
22,amide_donor,hydroxyl_O,24,24,23,0.3750,0.3594
22,hydroxyl,amide_O,40,40,37,0.6250,0.5781
22,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
23,amide_donor,amide_O,28,28,27,0.4375,0.4219
23,amide_donor,hydroxyl_O,26,26,24,0.4062,0.3750
23,hydroxyl,amide_O,40,40,35,0.6250,0.5469
23,hydroxyl,hydroxyl_O,13,13,13,0.2031,0.2031
24,amide_donor,amide_O,29,28,27,0.4375,0.4219
24,amide_donor,hydroxyl_O,20,20,19,0.3125,0.2969
24,hydroxyl,amide_O,40,40,35,0.6250,0.5469
24,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
25,amide_donor,amide_O,24,23,24,0.3594,0.3750
25,amide_donor,hydroxyl_O,22,22,22,0.3438,0.3438
25,hydroxyl,amide_O,42,42,36,0.6562,0.5625
25,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
26,amide_donor,amide_O,27,26,25,0.4062,0.3906
26,amide_donor,hydroxyl_O,22,22,20,0.3438,0.3125
26,hydroxyl,amide_O,42,42,37,0.6562,0.5781
26,hydroxyl,hydroxyl_O,14,13,14,0.2031,0.2188
27,amide_donor,amide_O,20,20,20,0.3125,0.3125
27,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
27,hydroxyl,amide_O,38,38,36,0.5938,0.5625
27,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
28,amide_donor,amide_O,28,28,27,0.4375,0.4219
28,amide_donor,hydroxyl_O,21,21,20,0.3281,0.3125
28,hydroxyl,amide_O,41,41,36,0.6406,0.5625
28,hydroxyl,hydroxyl_O,16,16,15,0.2500,0.2344
29,amide_donor,amide_O,27,27,26,0.4219,0.4062
29,amide_donor,hydroxyl_O,27,27,25,0.4219,0.3906
29,hydroxyl,amide_O,41,41,37,0.6406,0.5781
29,hydroxyl,hydroxyl_O,18,17,17,0.2656,0.2656
30,amide_donor,amide_O,27,27,26,0.4219,0.4062
30,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
30,hydroxyl,amide_O,40,40,35,0.6250,0.5469
30,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
31,amide_donor,amide_O,27,27,27,0.4219,0.4219
31,amide_donor,hydroxyl_O,22,22,22,0.3438,0.3438
31,hydroxyl,amide_O,37,37,35,0.5781,0.5469
31,hydroxyl,hydroxyl_O,18,18,17,0.2812,0.2656
32,amide_donor,amide_O,25,25,25,0.3906,0.3906
32,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
32,hydroxyl,amide_O,40,40,35,0.6250,0.5469
32,hydroxyl,hydroxyl_O,13,13,13,0.2031,0.2031
33,amide_donor,amide_O,29,28,28,0.4375,0.4375
33,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
33,hydroxyl,amide_O,37,37,35,0.5781,0.5469
33,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
34,amide_donor,amide_O,26,24,25,0.3750,0.3906
34,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
34,hydroxyl,amide_O,39,39,35,0.6094,0.5469
34,hydroxyl,hydroxyl_O,18,18,17,0.2812,0.2656
35,amide_donor,amide_O,29,29,28,0.4531,0.4375
35,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
35,hydroxyl,amide_O,39,39,35,0.6094,0.5469
35,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
36,amide_donor,amide_O,24,24,24,0.3750,0.3750
36,amide_donor,hydroxyl_O,25,25,23,0.3906,0.3594
36,hydroxyl,amide_O,38,38,35,0.5938,0.5469
36,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
37,amide_donor,amide_O,26,25,26,0.3906,0.4062
37,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
37,hydroxyl,amide_O,40,40,35,0.6250,0.5469
37,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
38,amide_donor,amide_O,30,28,28,0.4375,0.4375
38,amide_donor,hydroxyl_O,21,21,20,0.3281,0.3125
38,hydroxyl,amide_O,40,40,35,0.6250,0.5469
38,hydroxyl,hydroxyl_O,13,13,13,0.2031,0.2031
39,amide_donor,amide_O,24,24,24,0.3750,0.3750
39,amide_donor,hydroxyl_O,26,26,25,0.4062,0.3906
39,hydroxyl,amide_O,40,40,35,0.6250,0.5469
39,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
40,amide_donor,amide_O,25,25,24,0.3906,0.3750
40,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
40,hydroxyl,amide_O,41,41,35,0.6406,0.5469
40,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
41,amide_donor,amide_O,28,27,26,0.4219,0.4062
41,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
41,hydroxyl,amide_O,42,42,37,0.6562,0.5781
41,hydroxyl,hydroxyl_O,13,13,13,0.2031,0.2031
42,amide_donor,amide_O,26,26,25,0.4062,0.3906
42,amide_donor,hydroxyl_O,21,21,20,0.3281,0.3125
42,hydroxyl,amide_O,38,38,34,0.5938,0.5312
42,hydroxyl,hydroxyl_O,17,17,16,0.2656,0.2500
43,amide_donor,amide_O,28,27,26,0.4219,0.4062
43,amide_donor,hydroxyl_O,23,23,23,0.3594,0.3594
43,hydroxyl,amide_O,41,41,35,0.6406,0.5469
43,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
44,amide_donor,amide_O,27,27,25,0.4219,0.3906
44,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
44,hydroxyl,amide_O,39,39,35,0.6094,0.5469
44,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
45,amide_donor,amide_O,30,29,28,0.4531,0.4375
45,amide_donor,hydroxyl_O,23,23,23,0.3594,0.3594
45,hydroxyl,amide_O,40,40,35,0.6250,0.5469
45,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
46,amide_donor,amide_O,28,28,27,0.4375,0.4219
46,amide_donor,hydroxyl_O,22,22,20,0.3438,0.3125
46,hydroxyl,amide_O,39,39,35,0.6094,0.5469
46,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
47,amide_donor,amide_O,24,24,23,0.3750,0.3594
47,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
47,hydroxyl,amide_O,39,39,33,0.6094,0.5156
47,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
48,amide_donor,amide_O,24,24,23,0.3750,0.3594
48,amide_donor,hydroxyl_O,26,26,24,0.4062,0.3750
48,hydroxyl,amide_O,39,39,35,0.6094,0.5469
48,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
49,amide_donor,amide_O,25,24,24,0.3750,0.3750
49,amide_donor,hydroxyl_O,22,22,22,0.3438,0.3438
