donor_mol,donor_d,donor_h,acceptor_mol,acceptor_a,total_present,occupancy,continuous_max,continuous_mean,intermittent_max,intermittent_mean
14,2,13,58,0,36,0.3564,5,1.64,5,1.64
31,2,13,11,0,90,0.8911,23,10.00,23,10.00
49,2,13,41,0,36,0.3564,6,2.25,6,2.25
56,2,13,16,0,98,0.9703,68,32.67,68,32.67
15,0,19,32,1,3,0.0297,1,1.00,1,1.00
12,0,19,19,0,54,0.5347,7,2.16,7,2.16
17,0,19,23,0,18,0.1782,3,2.57,3,2.57
20,0,19,0,0,16,0.1584,13,5.33,13,5.33
52,0,19,57,0,45,0.4455,4,1.67,4,1.67
33,2,13,3,1,81,0.8020,15,5.40,15,5.40
41,2,13,61,1,3,0.0297,1,1.00,1,1.00
62,2,13,49,1,8,0.0792,1,1.00,1,1.00
52,2,13,56,0,29,0.2871,3,1.32,3,1.32
60,2,13,13,0,41,0.4059,5,1.86,5,1.86
1,0,19,6,1,7,0.0693,1,1.00,1,1.00
28,0,19,24,1,74,0.7327,9,3.89,9,3.89
41,0,19,63,1,67,0.6634,19,5.58,19,5.58
20,2,13,17,1,67,0.6634,15,3.72,15,3.72
23,2,13,40,1,10,0.0990,4,1.67,4,1.67
4,2,13,24,0,9,0.0891,1,1.00,1,1.00
11,2,13,37,0,21,0.2079,2,1.24,2,1.24
28,2,13,4,0,37,0.3663,5,1.68,5,1.68
44,2,13,18,0,60,0.5941,10,4.00,10,4.00
45,2,13,52,0,42,0.4158,5,1.75,5,1.75
47,0,19,42,1,3,0.0297,1,1.00,1,1.00
51,0,19,31,1,28,0.2772,8,2.00,8,2.00
62,0,19,43,1,10,0.0990,8,3.33,8,3.33
55,2,13,5,0,87,0.8614,38,12.43,38,12.43
60,0,19,59,1,5,0.0495,3,1.67,3,1.67
4,0,19,7,0,50,0.4950,4,1.92,4,1.92
7,0,19,41,0,4,0.0396,1,1.00,1,1.00
23,0,19,43,1,13,0.1287,3,1.86,3,1.86
37,0,19,59,1,66,0.6535,15,3.47,15,3.47
25,2,13,38,1,2,0.0198,1,1.00,1,1.00
23,0,19,20,1,2,0.0198,2,2.00,2,2.00
21,0,19,5,1,2,0.0198,1,1.00,1,1.00
20,0,19,30,1,2,0.0198,1,1.00,1,1.00
12,0,19,51,0,5,0.0495,2,1.25,2,1.25
37,0,19,50,1,1,0.0099,1,1.00,1,1.00
46,2,13,18,1,57,0.5644,10,3.35,10,3.35
12,2,13,11,0,2,0.0198,1,1.00,1,1.00
20,0,19,10,1,84,0.8317,79,28.00,79,28.00
25,0,19,8,1,3,0.0297,2,1.50,2,1.50
6,2,13,25,1,40,0.3960,9,2.11,9,2.11
