label,n,mean_DA,median_DA,std_DA,peak_DA,p25_DA,p75_DA
all,10491,2.9127,2.8835,0.2317,2.8250,2.7340,3.0653
amide_donor->amide_O,2623,3.0195,2.9881,0.1776,2.9250,2.8849,3.1341
amide_donor->hydroxyl_O,2256,3.0804,3.0589,0.1862,2.9750,2.9389,3.2085
hydroxyl->amide_O,3970,2.7484,2.7191,0.1668,2.6750,2.6343,2.8226
hydroxyl->hydroxyl_O,1642,2.9086,2.8531,0.2354,2.8250,2.7341,3.0603
