,I,J,DIST,DIMER-ES,HF-IFIE,MP2-IFIE,PR-TYPE1,GRIMME,JUNG,HILL,ES,EX,CT-mix,DI(MP2),q(I=>J),DIMER-HF,DIMER-MP2,DIMER-ES-BSSE,HF-BSSE,MP2-BSSE,PR-T1-BSSE,GRIMME-BSSE,JUNG-BSSE,HILL-BSSE,TIMES
0,UNK2(2),UNK1(1),2.561155,F,0.102284,-1.755144,-1.654743,-1.384913,-1.200426,-1.464607,-0.284885,0.984238,-0.596876,-1.755331,-0.005730,,,,,,,,,,00001
1,UNK3(3),UNK1(1),2.773836,F,-0.616214,-1.851781,-1.742594,-1.457077,-1.260039,-1.553086,-0.678062,0.865329,-0.803534,-1.851611,0.005952,,,,,,,,,,00001
2,UNK5(5),UNK1(1),2.827843,F,-0.906751,-3.367843,-3.163903,-2.733431,-2.415912,-2.656248,-1.561743,1.681781,-1.026997,-3.367831,-0.015782,,,,,,,,,,00001
3,UNK10(10),UNK1(1),2.561155,F,-0.117344,-1.784637,-1.681725,-1.407504,-1.219251,-1.490335,-0.471426,0.998515,-0.644181,-1.784523,0.007445,,,,,,,,,,00001
4,UNK11(11),UNK1(1),2.827843,F,-0.965110,-3.381021,-3.173316,-2.743472,-2.424697,-2.667543,-1.545891,1.676312,-1.095708,-3.380756,0.017265,,,,,,,,,,00001
